timestamp,type,qw,qx,qy,qz,ax,ay,az,gx,gy,gz,emg_0,emg_1,emg_2,emg_3,emg_4,emg_5,emg_6,emg_7,emg_8,emg_9,emg_10,emg_11,emg_12,emg_13,emg_14,emg_15
12031,EMG,-4,-73,-6,-79,7,-5,-4,-3,0,82,-18,64,-14,-2,-3,-7
12032,IMU,0.79,-0.06,-0.00,-0.61,0.06,-0.09,0.88,7.06,-13.00,37.50
12055,IMU,0.80,-0.06,-0.00,-0.60,0.08,-0.08,0.89,5.81,-9.25,37.19
12080,EMG,-1,-30,-13,-41,-9,-7,-3,-7,0,41,0,29,-17,-4,-2,-4
12081,IMU,0.80,-0.06,-0.01,-0.59,0.06,-0.10,0.89,11.25,-6.19,37.50
12105,IMU,0.81,-0.06,-0.01,-0.59,0.06,-0.10,0.87,8.38,-5.75,41.25
12106,EMG,2,-44,5,-35,6,-5,-6,2,0,-41,-2,-12,1,-5,-2,-1
12130,IMU,0.81,-0.06,-0.01,-0.58,0.06,-0.06,0.89,9.38,-10.63,39.13
12131,IMU,0.81,-0.06,-0.01,-0.58,0.07,-0.06,0.89,10.50,-11.69,34.19
12155,EMG,-1,-28,4,-14,-14,0,-1,-1,1,5,1,23,2,-1,1,-4
12156,IMU,0.82,-0.06,-0.01,-0.57,0.07,-0.08,0.88,8.25,-10.94,32.31
12180,IMU,0.82,-0.06,-0.02,-0.57,0.06,-0.10,0.89,11.63,-10.50,33.31
12181,EMG,-3,-46,-8,-15,-1,-1,-2,-5,-2,-20,2,0,-7,0,2,4
12205,IMU,0.82,-0.06,-0.02,-0.56,0.08,-0.07,0.87,8.75,-7.31,35.00
12230,IMU,0.83,-0.06,-0.02,-0.56,0.09,-0.07,0.88,4.81,-5.19,37.06
12231,EMG,-2,16,-4,-57,-2,-3,-3,-1,1,7,5,-9,10,5,2,3
12232,IMU,0.83,-0.06,-0.02,-0.55,0.09,-0.08,0.89,9.31,-3.87,37.31
12255,IMU,0.83,-0.06,-0.02,-0.55,0.08,-0.06,0.88,6.06,-1.44,34.00
12280,EMG,-3,4,-8,-47,-11,-1,-4,-1,-6,13,-1,-32,-2,-3,-3,-1
12281,IMU,0.84,-0.06,-0.02,-0.54,0.09,-0.07,0.88,1.44,-1.06,31.12
12305,IMU,0.84,-0.06,-0.02,-0.54,0.09,-0.08,0.89,2.50,0.75,29.25
12306,EMG,2,-96,-3,34,1,-1,1,-1,2,-71,-3,50,2,0,-3,-7
